num_inspection;evaluation;departement
23-050514-1;2;81
23-009670-1;2;93
23-029709-1;2;82
22-103141-1;3;63
23-046414-1;3;20
23-044907-1;3;20
23-052874-1;2;31
23-020051-1;3;24
23-009073-1;2;18
22-091005-1;2;31
23-013344-1;2;97
23-073780-1;3;73
23-034535-1;3;12
23-046969-2;3;22
23-019508-1;3;7
23-052658-1;2;75
23-024989-1;2;17
23-071071-1;3;69
23-048064-1;3;22
23-039675-1;2;13
22-091239-1;2;11
23-025732-1;3;24
23-058299-1;2;79
23-031321-1;2;13
23-051107-1;2;84
23-046969-1;3;22
23-051111-1;2;6
21-111027-1;2;27
23-006497-1;2;83
23-036793-1;2;75
23-048594-1;2;17
23-018264-1;3;7
23-010297-1;3;66
23-024155-1;3;94
23-051145-1;2;67
23-034981-1;3;20
23-068350-1;3;94
23-051119-1;2;81
23-028163-1;2;88
23-003269-1;3;0
23-033473-1;2;37
23-014264-1;2;23
22-098682-1;2;87
22-107153-1;2;80
22-091655-1;3;42
23-081676-1;3;74
23-043847-1;2;83
23-004935-1;3;75
23-042895-1;2;91
23-078315-1;2;75
23-040320-1;2;59
23-024725-1;2;75
22-085656-1;2;38
23-024875-1;3;80
23-034981-2;3;20
23-004456-1;3;75
23-030530-1;3;57
23-020946-1;3;94
22-013924-1;2;23
22-013921-1;2;23
23-022257-1;3;94
23-030918-1;2;48
23-006901-1;3;74
23-013346-1;2;97
23-069075-1;3;75
23-035430-1;1;24
23-004488-1;3;75
23-033199-1;3;75
23-051217-1;2;22
23-003130-1;3;97
23-033638-1;3;24
22-094249-1;2;8
23-063223-1;2;59
22-100726-1;3;94
22-106075-1;2;95
23-014251-1;3;23
22-089657-1;2;75
23-072904-1;3;94
23-074954-1;2;83
23-075823-1;3;83
22-089730-1;2;32
23-034459-1;2;59
23-002512-1;2;21
23-050714-1;1;94
23-084730-1;3;30
23-009480-1;2;21
23-033241-1;1;37
23-004861-1;3;89
23-007058-1;3;74
23-033230-1;3;7
23-074823-1;2;92
23-033185-1;2;93
23-032705-1;2;9
22-095608-1;2;87
23-011706-1;3;66
23-019525-1;2;7
23-068861-1;3;24
23-059349-1;2;69
22-108679-1;2;36
23-047673-1;3;93
22-094345-2;3;78
23-027086-1;3;84
23-035259-1;2;75
23-074995-1;2;69
23-016412-1;3;65
23-038952-1;2;75
23-058615-1;1;71
23-011253-1;3;80
23-078041-1;2;39
23-051187-1;1;14
23-045232-1;2;84
23-028723-1;1;39
23-031243-1;3;75
23-009557-1;3;29
23-014250-1;3;23
23-071645-1;3;75
23-051207-1;2;77
23-003124-1;3;97
23-059109-1;2;75
23-017121-1;3;20
23-069763-1;3;35
23-042754-1;2;26
23-011630-1;1;9
23-039420-1;3;71
23-070847-1;3;12
23-056412-1;2;14
23-050775-1;1;94
23-033254-1;3;75
23-009784-1;3;59
23-067618-1;3;69
23-005021-1;3;75
23-048748-1;2;80
23-061582-1;1;94
23-014486-1;3;33
23-051238-1;3;65
23-051329-1;2;35
22-088861-1;3;91
23-051232-1;2;95
23-067616-1;3;69
23-011631-1;1;9
23-077966-1;2;75
23-026549-1;2;3
23-051261-1;2;95
23-051373-1;3;75
23-055180-1;2;83
23-000970-1;2;7
23-051319-1;2;81
22-093043-1;2;62
23-033265-1;3;54
23-032647-1;2;61
23-026943-1;2;71
23-065278-1;2;34
23-005289-1;3;42
23-024561-1;3;59
23-037809-1;2;10
23-052536-1;2;69
23-038136-1;2;95
23-057832-1;3;62
23-055436-1;2;75
23-059996-1;2;94
23-067597-1;2;93
22-096134-1;3;26
23-063050-1;3;75
23-051879-1;2;75
23-051281-1;2;42
22-100704-1;3;50
22-100675-1;3;27
23-033290-1;2;75
22-087870-1;2;75
23-032001-1;2;40
23-084073-1;2;18
23-011632-1;1;9
23-064149-1;2;22
23-042209-1;2;58
23-040205-1;3;69
23-070583-1;3;76
23-012121-1;3;66
22-088607-1;2;17
23-023696-1;3;72
22-086377-1;3;20
23-051237-1;3;75
23-019896-1;3;75
23-068266-1;2;76
23-061234-1;3;57
23-051342-1;2;75
23-040622-1;2;95
23-051366-1;3;75
22-088126-1;3;60
23-041276-1;3;13
23-067581-1;1;77
23-033012-1;3;75
23-068352-1;2;76
23-017161-1;2;20
23-069524-1;3;76
23-052685-1;3;75
23-051314-1;3;59
22-105623-1;2;75
23-033267-1;3;75
22-107801-1;2;73
22-091284-1;2;97
23-033294-1;2;95
22-104254-1;2;33
23-031363-1;2;95
23-024868-1;3;25
22-089906-1;3;75
23-080187-1;3;44
23-029528-1;2;75
22-095165-1;2;15
23-013066-1;3;2
23-005629-1;2;42
23-051375-1;2;39
23-013166-1;3;23
23-033343-1;2;75
23-051371-1;2;16
23-028693-1;2;97
23-036737-1;3;13
23-059887-1;2;31
23-029135-1;2;83
22-099721-1;2;94
22-103146-1;2;59
23-051508-1;3;20
23-031704-1;2;83
23-003373-1;2;31
23-062556-1;2;29
23-039181-1;2;75
23-036841-1;3;97
23-085139-1;3;74
23-075794-1;2;33
23-037694-1;3;74
23-011570-1;2;13
23-036349-1;2;64
22-090869-1;2;17
23-037318-1;2;64
22-101397-1;2;76
23-036676-1;3;13
23-054007-1;2;80
23-068262-1;3;85
23-020910-1;2;69
22-103934-1;2;14
23-052582-1;3;34
23-061467-1;2;75
23-007791-1;2;75
23-054938-1;2;60
23-070262-1;3;26
23-071292-1;3;57
23-064951-1;2;81
23-070040-1;2;59
23-029990-1;2;25
23-003881-1;3;47
22-107238-1;1;75
23-075087-1;3;24
23-046460-1;2;59
23-023411-1;2;5
23-065005-1;2;93
23-058653-1;2;11
23-078026-1;1;60
23-009423-1;2;67
23-015552-1;2;38
23-073392-1;2;53
23-047501-1;2;83
23-033398-1;2;69
23-051615-1;2;39
23-051507-1;2;49
23-016354-1;2;86
23-055191-1;3;75
23-072732-1;3;20
23-051451-1;2;67
22-093745-1;2;2
22-105398-1;3;38
23-002201-1;3;30
23-038950-1;2;93
23-081799-1;3;35
23-058622-1;3;85
23-039677-1;2;17
23-001332-1;3;38
23-007852-1;3;37
23-001329-1;3;38
22-095646-1;3;75
22-067648-1;1;7
23-054407-1;2;93
23-033401-1;2;75
22-102966-1;2;54
23-051337-1;2;95
23-051472-1;1;91
22-090089-1;2;93
23-009765-1;3;84
23-060121-1;3;68
23-023009-1;2;93
23-040801-1;3;29
23-051460-1;2;97
23-067054-1;2;20
22-107766-1;2;50
23-074879-1;2;71
23-037708-1;2;76
23-051602-2;2;77
23-052712-1;2;49
23-051497-1;3;75
22-095916-1;3;76
23-057041-1;2;83
23-051404-1;2;75
23-007914-1;3;75
22-014430-1;2;97
23-054988-1;2;85
22-107900-1;2;34
23-067585-1;1;20
23-073586-1;3;94
22-102974-1;2;54
23-059552-1;3;34
23-012109-1;2;66
23-051430-1;2;93
23-051433-1;2;61
23-015501-1;2;59
23-004786-1;2;39
23-061033-1;2;95
23-055431-1;2;75
23-051510-1;2;75
23-051515-1;2;75
23-064605-1;3;94
23-020839-1;2;20
23-028343-1;2;75
22-095741-1;2;37
23-033972-1;2;59
22-095848-1;2;75
23-054242-1;3;11
23-021561-1;2;59
23-033459-1;2;93
23-040652-1;2;94
23-019621-1;3;7
23-009659-1;3;65
23-069802-1;3;55
22-106327-1;2;75
23-072893-1;1;93
23-032914-1;3;56
23-051506-1;2;76
23-072087-1;2;94
23-051603-1;2;33
23-035107-1;3;75
22-108894-1;2;12
22-103787-1;2;75
23-007044-1;3;13
23-015343-1;2;59
23-073192-1;1;56
23-051494-1;2;30
23-077139-1;3;14
23-033543-1;2;93
23-013113-1;2;23
22-103811-1;2;62
23-033515-1;2;93
23-007578-1;2;92
23-073436-1;2;33
23-054326-1;3;74
23-059926-1;3;97
23-051630-1;3;81
23-032910-1;3;56
22-097248-1;3;10
22-107965-1;2;95
23-051590-1;2;41
23-065357-1;1;28
23-066180-1;2;95
23-032917-1;3;56
23-018072-1;2;59
23-073585-1;3;94
23-051589-1;2;75
23-045313-1;2;81
23-074170-1;1;68
22-094433-1;3;20
23-051745-1;2;82
23-013285-1;2;39
22-091622-1;2;2
23-051552-1;1;49
23-051556-1;2;92
23-012791-1;2;67
23-074159-1;2;49
23-041001-1;3;59
23-011391-1;2;34
23-071577-1;1;53
23-011353-1;2;34
22-100691-1;2;92
23-051539-1;2;11
23-081066-1;3;29
22-107914-1;2;33
22-104208-1;3;67
23-004561-1;2;93
23-065643-1;2;37
23-028100-1;2;75
23-051599-1;2;33
23-008292-1;2;75
23-077460-1;2;75
23-013393-1;1;97
22-094542-1;2;75
23-032667-1;3;56
22-099807-1;2;50
23-033490-1;2;75
23-053000-1;2;62
23-022813-1;3;93
23-086491-1;3;69
23-001336-1;3;38
23-051631-1;3;75
23-012110-1;2;66
22-089349-1;3;62
23-024665-1;2;75
23-051616-1;2;34
23-036139-1;3;20
22-103854-1;3;94
23-055385-1;2;61
22-088715-1;2;69
23-021052-1;3;50
22-088098-1;2;80
23-033442-1;2;75
23-051627-1;3;75
23-001122-1;3;30
23-028233-1;2;75
23-033509-1;2;93
23-080075-1;3;76
23-049392-1;2;75
23-055560-1;2;83
23-033338-1;2;93
23-033531-1;2;75
23-056208-1;2;54
23-009592-1;2;92
22-090871-1;3;75
23-039449-1;2;75
23-078400-1;2;92
23-024132-1;3;76
23-069293-1;1;97
23-058126-1;2;33
23-033649-1;2;75
23-063770-1;2;71
23-033869-1;3;76
23-037387-1;2;28
23-008442-1;1;19
23-033669-1;2;75
23-024130-1;3;76
23-045885-1;2;86
23-085920-1;2;75
23-028368-1;2;62
23-053192-1;3;39
23-051730-1;3;20
23-051611-1;2;33
22-098274-1;3;11
22-092653-1;3;65
23-022635-1;3;35
23-017583-1;2;43
22-094423-1;2;78
23-051613-1;2;34
23-050810-1;2;87
23-065552-1;2;11
23-062875-1;2;66
23-051675-1;2;7
22-086834-1;2;49
23-012042-1;2;86
23-069870-1;3;42
23-001124-1;1;30
23-003300-1;3;84
23-070716-1;2;71
22-092651-1;3;65
23-046203-1;2;59
23-025995-1;2;43
22-109040-1;2;40
23-000660-1;2;43
22-094278-1;3;10
23-048504-1;2;75
22-086749-1;2;80
23-053809-1;2;37
22-099038-1;2;13
23-051670-1;2;33
23-021025-1;3;58
22-087943-1;2;49
23-077335-1;1;19
23-062092-1;2;83
23-050474-1;3;75
23-051651-1;2;33
23-035459-1;2;77
23-051790-1;1;75
22-108484-1;2;84
23-058232-1;2;33
23-034316-1;2;37
23-007610-1;3;75
23-019842-1;2;38
22-094110-1;3;11
22-092877-1;2;92
22-106588-1;2;30
23-051771-1;2;56
23-002337-1;2;75
22-088637-1;2;93
23-041570-1;3;73
23-078153-1;3;51
23-024714-1;2;79
23-056695-1;2;87
22-097057-1;2;6
23-051770-1;2;39
23-023847-1;2;38
23-010890-1;2;10
23-051469-1;1;57
23-045452-1;2;75
23-072850-1;2;75
23-074836-1;2;69
23-051783-1;2;75
23-018487-1;3;20
23-046011-1;3;75
23-051724-1;3;75
23-079601-1;2;75
23-026457-1;3;75
23-073940-1;3;75
23-053207-1;2;59
23-051715-1;3;75
22-094536-1;2;60
23-033594-1;3;75
23-033562-1;3;75
23-061045-1;1;28
23-051523-1;2;75
23-046506-1;2;76
23-051754-1;1;62
23-049488-1;3;29
23-058063-1;2;44
22-106980-1;2;28
22-092649-1;3;65
23-039652-1;2;69
22-094772-1;2;31
23-051787-1;1;97
22-089319-1;3;71
23-051893-1;3;24
23-068849-1;3;75
23-051792-1;2;75
22-072544-1;2;5
23-016994-1;2;67
22-097622-1;3;75
23-051884-1;3;24
22-097903-1;2;80
23-044705-1;3;81
23-073090-1;2;94
23-048367-1;2;75
23-005489-1;3;7
23-003660-1;3;71
23-012122-1;3;66
23-061810-1;3;83
23-009705-1;3;84
23-051619-1;2;33
23-058989-1;2;57
22-096405-1;2;33
22-022614-1;3;64
22-088275-1;2;75
23-009702-1;3;84
23-034417-1;3;91
22-106984-1;2;28
22-088425-1;2;25
23-021867-1;3;80
22-070645-1;2;17
23-032669-1;2;43
22-039607-1;3;7
23-040182-1;3;61
23-059567-1;2;77
23-034124-1;2;80
23-007098-1;2;69
22-103086-1;3;38
23-053858-1;2;56
23-006477-1;3;55
23-032763-2;3;20
23-033431-1;2;29
23-080452-1;3;73
23-040653-1;3;49
23-058445-1;2;75
23-006481-1;3;55
23-042811-1;2;80
22-086898-1;2;75
23-007872-1;3;17
23-050166-1;2;75
23-083017-1;3;75
23-032763-1;3;20
23-073800-1;2;11
22-103253-1;2;41
23-051822-1;3;24
22-098580-1;1;97
23-051829-1;2;94
22-022617-1;3;64
22-104408-1;2;75
23-046751-1;2;75
22-106192-1;2;60
22-086897-1;3;75
23-038057-1;2;24
23-011041-1;2;83
23-046323-1;3;29
23-033668-1;3;75
23-039516-1;2;67
23-039187-1;2;75
23-033673-1;3;75
23-016778-1;3;75
23-002188-1;2;30
23-041002-1;2;91
23-057351-1;2;62
22-087691-1;2;94
23-024357-1;2;57
23-031093-1;2;85
23-051867-1;3;20
23-042302-1;3;75
23-057348-1;2;62
22-087349-1;2;94
23-009131-1;2;94
23-012123-1;3;66
23-062831-1;3;93
23-052540-1;2;56
22-086899-1;2;75
23-010195-1;2;84
23-063844-1;2;29
23-058132-1;2;88
22-109014-1;2;56
23-056315-1;3;84
23-034108-1;2;43
23-042185-1;2;75
23-033795-1;3;13
23-034173-1;2;43
22-108118-1;2;97
22-095727-1;2;94
23-071692-1;2;83
23-053861-1;2;56
23-052232-1;2;92
23-035504-1;2;83
23-051285-1;2;75
23-051904-1;3;90
22-086892-1;3;75
23-065455-1;2;77
23-058020-1;2;29
22-096268-1;2;75
23-044833-1;2;83
23-024164-1;3;57
23-029939-1;2;51
23-026926-1;3;29
23-027462-1;3;75
23-011743-1;2;94
23-075868-1;2;81
22-101330-1;2;14
23-075851-1;2;81
23-033677-1;3;75
23-035461-1;2;24
23-075303-1;3;81
23-032426-1;2;29
23-002234-1;2;49
23-067527-1;2;1
23-015341-1;2;74
23-033789-1;2;71
22-101029-1;2;93
23-005501-1;3;42
23-008885-1;3;13
23-033693-1;2;75
23-060072-1;2;76
23-061152-1;2;79
23-042583-1;2;83
23-011325-1;3;34
23-033778-1;3;81
23-033690-1;2;91
23-003611-1;3;62
23-016661-1;3;17
23-036381-1;2;24
22-092682-1;3;42
23-035013-1;2;83
23-081825-1;3;83
23-051317-1;3;74
23-038419-1;2;75
23-018671-1;3;40
23-032553-1;3;49
23-033697-1;2;75
23-033679-1;2;75
23-053787-1;2;84
23-033715-1;2;98
23-059125-1;2;78
23-074214-1;2;11
22-093031-1;2;25
23-051902-1;3;90
23-036445-1;2;76
23-078070-1;2;75
23-033681-1;3;75
23-052014-1;2;75
23-033811-1;3;75
23-033680-1;3;75
23-059069-1;1;56
23-028435-1;2;82
23-005264-1;3;42
22-087184-1;3;57
23-049563-1;2;35
23-001087-1;2;30
23-061788-1;3;57
23-024166-1;3;57
23-077250-1;2;97
23-080140-1;3;3
23-067998-1;2;10
23-033794-1;3;21
22-010339-1;3;9
23-003470-1;2;94
23-077260-1;2;97
23-006574-1;2;94
23-068851-1;2;97
23-051919-1;3;90
23-023469-1;2;64
23-055972-1;2;59
23-008998-1;2;44
23-052122-1;2;69
23-028304-1;2;59
23-033557-1;3;18
23-016512-1;2;92
22-090345-1;3;69
22-094324-1;3;67
23-023689-1;2;36
23-024824-1;3;81
23-067647-1;2;75
23-060726-1;2;78
23-004352-1;3;46
23-027461-1;2;75
23-031143-1;2;78
23-003743-1;3;86
23-051312-1;3;74
22-089103-1;3;31
23-026222-1;1;31
22-091604-1;2;49
22-013930-1;2;23
23-033884-1;1;21
23-068415-1;2;93
22-102334-1;2;75
23-052119-1;2;77
22-095473-1;2;75
22-095946-1;3;38
23-002755-1;3;44
23-060973-1;3;75
23-020146-1;2;75
23-006978-1;2;93
22-083536-1;2;89
23-027128-1;1;26
23-046591-1;2;89
22-087179-1;2;91
23-021006-1;3;38
23-000658-1;3;88
22-097510-1;3;75
23-033901-1;3;62
22-095778-1;2;67
23-030367-1;2;44
23-020595-1;3;87
23-057363-1;2;77
23-048539-1;2;97
23-027036-1;3;94
23-046981-1;2;94
23-028346-1;2;97
23-064039-1;1;57
23-049121-1;3;22
23-006575-1;2;94
23-047691-1;3;93
23-009946-1;3;61
23-053104-1;2;75
23-015287-1;3;88
23-041650-1;2;60
23-070032-1;3;39
23-019646-1;3;7
23-071311-1;2;22
23-023522-1;2;94
22-087482-1;2;72
23-014503-1;1;33
23-037621-1;2;59
22-091252-1;2;77
23-042106-1;2;83
23-014219-1;2;74
23-050273-1;2;75
22-095951-1;3;38
23-049799-1;2;10
23-014265-1;3;23
22-095940-1;3;38
23-078130-1;3;76
22-094857-1;3;24
23-019702-1;3;7
23-061115-1;3;97
23-052491-1;3;31
23-033919-1;2;70
22-104915-1;2;95
23-009195-1;2;57
23-008164-1;3;75
23-013799-1;2;76
22-105693-1;2;75
23-050438-1;3;22
23-037187-1;2;22
23-039159-1;2;75
23-024775-1;2;75
23-051830-1;3;20
23-014252-1;3;23
23-020961-1;3;38
23-009948-1;3;61
23-055759-1;2;59
22-094092-1;3;22
23-050850-1;2;75
22-108835-1;2;14
23-025988-1;3;38
23-020108-1;2;76
22-103616-1;2;44
23-031219-1;2;57
23-006578-1;2;94
23-069635-1;2;77
23-008859-1;1;65
23-041730-1;2;97
